,times,pi/4,pi/3,pi/5
0,0.001,0.001439995022969904,0.001440129856358029,0.0014400465247429142
1,0.0011097524964120721,0.0015977098937552555,0.0015978758913781602,0.0015977732992102913
2,0.0012315506032928262,0.0017726585497531804,0.0017728629070180321,0.001772736607285519
3,0.001366716356462006,0.001966714950483719,0.0019669665213341582,0.001966811042006053
4,0.0015167168884709225,0.002181954700356518,0.0021822643785728013,0.0021820729869268065
5,0.0016831803533309566,0.002420676255776575,0.0024210574434628675,0.0024208218565379405
6,0.0018679135990207828,0.0026854242489249376,0.0026858934322440023,0.002685603461048285
7,0.002072921779595372,0.002979015112893927,0.002979592569125763,0.0029792356816012926
8,0.002300430119772917,0.0033045652023403664,0.0033052758681526642,0.003304836652607957
9,0.0025529080682395165,0.0036655216123228124,0.0036663961496266055,0.0036658556559659465
10,0.002833096101839324,0.00406569590432568,0.004066772008178308,0.004066106939602145
11,0.0031440354715915,0.004509300952493214,0.004510624955403577,0.004509806676866487
12,0.0034891012134067737,0.005000991122949346,0.005002619961878717,0.0050016132844519
13,0.003872038781812557,0.005545905994673222,0.0055479096216351316,0.005546671312670056
14,0.004297004704320844,0.0061497178191227495,0.0061521821536702015,0.006150659112057127
15,0.004768611697714469,0.006818682896525124,0.006821713439935593,0.0068198404624613225
16,0.005291978735958442,0.007559697017179879,0.007563423273667716,0.0075611203225564435
17,0.005872786613189483,0.008380355073167997,0.008384935954388972,0.008382104817186575
18,0.00651733960488242,0.009289014886926955,0.00929464531308965,0.009291165523024543
19,0.007232633896483534,0.010294865223884607,0.010301784179359475,0.010297508036796904
20,0.008026433522257174,0.01140799834191853,0.011416498604015644,0.011411245163413516
21,0.00890735463861044,0.01263948542838025,0.012649925697368027,0.012643473272660534
22,0.009884959046625586,0.014001455090165293,0.014014274476591393,0.014006351685226353
23,0.010969857978923836,0.015507175790671053,0.015522911474597247,0.015513186324997803
24,0.012173827277396614,0.017171139557206876,0.017190448209898516,0.017178514862772977
25,0.013509935211980273,0.019009146310934737,0.019032830023820425,0.019018192768150484
26,0.014992684327860457,0.021038387255518112,0.021067424864332097,0.02104947875943059
27,0.01663816886076129,0.023277525322084238,0.023313110169586603,0.0232911177087036
28,0.018464249428955443,0.025746770153535464,0.02579035550937356,0.02576341855213006
29,0.020490746898158472,0.028467944506995253,0.0285212980627296,0.02848832416064529
30,0.022739657523579287,0.0314645382477357,0.0315298073282777,0.031489469430125754
31,0.02523539170434766,0.03476174155222702,0.034841531695364074,0.034792219599765556
32,0.02800503894183631,0.038386460671551596,0.03848392694207184,0.038423690863898186
33,0.03107866187782014,0.0423673105670473,0.04248626785806248,0.042412750315178244
34,0.03448962260405758,0.04673455571198408,0.046879609209790764,0.046789964431669884
35,0.038274944785163134,0.05152001451118255,0.0516967091024085,0.051587510520672376
36,0.04247571552536898,0.05675692403864169,0.05697192383498056,0.05683905375249765
37,0.047137531341167244,0.06247970121070799,0.06274099623076979,0.0625795175009771
38,0.05231099308056263,0.06872368619470483,0.06904082392522345,0.06884483737053637
39,0.05805225516094899,0.07552477929170466,0.07590913731240594,0.07567161355736213
40,0.06442363508721373,0.08291896382626845,0.0833840661722447,0.08309665064360605
41,0.07149428986597581,0.09094172327924839,0.09150358610987837,0.09115638491193802
42,0.07934096665797492,0.09962737484424627,0.10030490221934665,0.09988623893190586
43,0.08804883581643465,0.10900830915098225,0.10982369419943623,0.10931986216119331
44,0.09771241535346502,0.11911413517674575,0.12009334184747619,0.11948830963249502
45,0.1084365968689611,0.12997061542793328,0.13114387759630106,0.13041897885839912
46,0.12033778407775893,0.1415986047038806,0.14300095470005172,0.14213456659740076
47,0.13354515629298988,0.15401289351118713,0.15568468592272788,0.15465190626755984
48,0.14820207057988585,0.16722104918884528,0.16920854014049627,0.16798083850198411
49,0.16446761779946645,0.18122207094314322,0.18357795138779734,0.18212283715977995
